Images,Latitude,Longitude,Coords
IMG_0000_3.tif,-30.272835399999998,149.80293260000002,"(-30.272835399999998, 149.80293260000002)"
IMG_0081_4.tif,-30.272860599999998,149.8034409,"(-30.272860599999998, 149.8034409)"
IMG_0160_1.tif,-30.2731903,149.80381500000001,"(-30.2731903, 149.80381500000001)"
IMG_0143_2.tif,-30.2730919,149.8033172,"(-30.2730919, 149.8033172)"
IMG_0173_5.tif,-30.2731298,149.8030175,"(-30.2731298, 149.8030175)"
IMG_0176_4.tif,-30.2730495,149.8026522,"(-30.2730495, 149.8026522)"
IMG_0167_1.tif,-30.2731393,149.8032827,"(-30.2731393, 149.8032827)"
IMG_0066_5.tif,-30.2728374,149.80391070000002,"(-30.2728374, 149.80391070000002)"
IMG_0094_6.tif,-30.2729875,149.80411980000002,"(-30.2729875, 149.80411980000002)"
IMG_0090_2.tif,-30.272920199999998,149.80409500000002,"(-30.272920199999998, 149.80409500000002)"
IMG_0007_4.tif,-30.272832599999997,149.80292880000002,"(-30.272832599999997, 149.80292880000002)"
IMG_0036_4.tif,-30.2727398,149.8033307,"(-30.2727398, 149.8033307)"
IMG_0030_2.tif,-30.2731647,149.8031085,"(-30.2731647, 149.8031085)"
IMG_0014_1.tif,-30.2728355,149.8029257,"(-30.2728355, 149.8029257)"
IMG_0024_5.tif,-30.2729516,149.8030026,"(-30.2729516, 149.8030026)"
IMG_0069_6.tif,-30.27283,149.80389430000002,"(-30.27283, 149.80389430000002)"
IMG_0146_4.tif,-30.2731004,149.80350610000002,"(-30.2731004, 149.80350610000002)"
IMG_0063_4.tif,-30.272805599999998,149.8038458,"(-30.272805599999998, 149.8038458)"
IMG_0065_1.tif,-30.272835099999998,149.8039139,"(-30.272835099999998, 149.8039139)"
IMG_0162_6.tif,-30.273174299999997,149.80361630000002,"(-30.273174299999997, 149.80361630000002)"
IMG_0095_3.tif,-30.2729864,149.8041183,"(-30.2729864, 149.8041183)"
IMG_0081_3.tif,-30.272860599999998,149.8034409,"(-30.272860599999998, 149.8034409)"
IMG_0021_5.tif,-30.2728421,149.8029214,"(-30.2728421, 149.8029214)"
IMG_0165_1.tif,-30.273141499999998,149.80331950000001,"(-30.273141499999998, 149.80331950000001)"
